"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"231","PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY","0.157736604907361","0.628925191990959","-0.495263132851161","-1.27766521568156","944","21","c(""Cd4"", ""Cd247"", ""Cd86"", ""Fos"", ""RT1-Da"")"
"232","HALLMARK_ANGIOGENESIS%MSIGDB_C2%HALLMARK_ANGIOGENESIS","0.187692807273908","0.668181198525035","-0.447851221794347","-1.23714904048339","1155","29","c(""Pf4"", ""S100a4"", ""Kcnj8"", ""Slco2a1"", ""Spp1"", ""Col3a1"", ""Stc1"", ""Vtn"", ""Vav2"", ""Pdgfa"", ""Vegfa"", ""Fstl1"")"
"233","PID_S1P_S1P1_PATHWAY%MSIGDB_C2%PID_S1P_S1P1_PATHWAY","0.954141656662665","1","0.226889153949552","0.587341784070815","3973","16","c(""Ptgs2"", ""Gnaz"", ""Mapk1"", ""Gnao1"", ""Plcg1"", ""Sphk1"", ""Pdgfrb"")"
"234","PID_NCADHERIN_PATHWAY%MSIGDB_C2%PID_NCADHERIN_PATHWAY","0.971601109841684","1","-0.21501022029245","-0.586289824876931","5952","27","c(""Gsn"", ""Gja1"", ""Ctnna1"", ""Rhoa"", ""Fgfr1"", ""Ptpn11"")"
"235","PID_P73PATHWAY%MSIGDB_C2%PID_P73PATHWAY","0.779427687548337","1","-0.263340733676648","-0.817675031388691","5038","54","c(""Ada"", ""Fas"", ""Ccna2"", ""Cdk1"", ""Il4r"", ""Rnf43"", ""Cdkn1a"", ""Bak1"", ""Nsg1"", ""Cdk2"", ""Il1rap"")"
"236","BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY","0.696009196912465","1","-0.312133278485618","-0.842435204230642","4237","26","c(""Nppa"", ""Tgfb2"", ""Bmp4"", ""Bmp2"", ""Smad6"", ""Tgfbr1"")"
"237","PID_AMB2_NEUTROPHILS_PATHWAY%MSIGDB_C2%PID_AMB2_NEUTROPHILS_PATHWAY","0.125867355171857","0.572251406126171","-0.469124888031387","-1.30611056883645","779","30","c(""Plau"", ""Lck"", ""Itgam"", ""Itgb2"", ""Plg"", ""Mmp2"", ""Lyn"", ""Hck"", ""Ctgf"")"
"238","PID_FOXO_PATHWAY%MSIGDB_C2%PID_FOXO_PATHWAY","0.995943753380205","1","0.169785777806009","0.541655913684711","3682","40","c(""Mapk10"", ""Csnk1g3"", ""Plk1"", ""Csnk1g1"", ""Ywhah"", ""Mapk8"", ""Mapk9"", ""Gadd45a"", ""Rala"", ""Zfand5"", ""Sod2"", ""Csnk1d"", ""Ywhaz"", ""Xpo1"", ""Ywhag"")"
"239","PID_ATR_PATHWAY%MSIGDB_C2%PID_ATR_PATHWAY","0.848606215956424","1","-0.263421358303391","-0.752022602899047","5296","35","c(""Ccna2"", ""Rad1"", ""Cdc6"", ""Rfc3"", ""Rfc2"", ""Cdk2"", ""Sspo"", ""Cep164"", ""Mcm2"", ""Rfc4"", ""Smarcal1"")"
"240","PID_MYC_ACTIV_PATHWAY%MSIGDB_C2%PID_MYC_ACTIV_PATHWAY","0.412520961430967","0.912613781937361","0.300393975323198","1.01551901324027","1475","53","c(""Mmp9"", ""Shmt1"", ""E2f3"", ""Lin28b"", ""Smad3"")"
"241","PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY","0.348032994923858","0.856213999845886","-0.36758921357094","-1.07761253448548","2193","40","c(""Plau"", ""Fgf1"", ""Fgfr4"", ""Fos"", ""Gab1"", ""Spp1"", ""Runx2"", ""Fgfr2"")"
"242","HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP","0.00995162404975812","0.16436026217212","-0.407709845829669","-1.4471941701156","71","136","c(""Plau"", ""Cmklr1"", ""Clec4a"", ""C3ar1"", ""Lat2"", ""F13a1"", ""Mall"", ""Reln"", ""Irf8"", ""Pcp4"", ""Tmem176a"", ""Arg1"", ""Mafb"", ""Birc3"", ""Tmem176b"", ""Itgb2"", ""Trib2"", ""Apod"", ""Wnt7a"", ""Bmp2"", ""Cfh"", ""Emp1"", ""Adam17"", ""Spp1"", ""Btbd3"", ""Mtmr10"", ""Klf4"", ""Il33"", ""Igf2"", ""Tph1"", ""Laptm5"", ""Gprc5b"", ""Ppp1r15a"", ""Btc"", ""Tnfrsf1b"", ""Rbp4"", ""Angptl4"", ""G0s2"", ""Akt2"", ""Sema3b"", ""Cxcr4"", ""Flt4"")"
"243","HALLMARK_UV_RESPONSE_UP%MSIGDB_C2%HALLMARK_UV_RESPONSE_UP","0.639523611688132","1","-0.259469217434224","-0.918294096641551","4617","132","c(""Rrad"", ""Hmox1"", ""Ret"", ""Fmo1"", ""Slc6a12"", ""Cnp"", ""Fos"", ""Bmp2"", ""Nat2"", ""Lyn"", ""Ccne1"", ""Pdlim3"", ""Gpx3"", ""Mmp14"", ""Parp2"", ""Bak1"", ""Igfbp2"", ""Ctsl"", ""Sult1a1"", ""Tst"", ""Btg3"", ""Prpf3"", ""Cdk2"", ""Mgat1"", ""Il6st"", ""Maoa"", ""E2f5"", ""Casp3"", ""LOC100912534"", ""Ptprd"", ""Rfc4"", ""Nr4a1"", ""Kcnh2"", ""Car2"", ""Plcl1"", ""Polg2"")"
"244","PID_INTEGRIN_CS_PATHWAY%MSIGDB_C2%PID_INTEGRIN_CS_PATHWAY","0.0283651366683858","0.286063046728186","-0.654545663341949","-1.56359117157452","164","15","c(""Itga4"", ""Itga10"", ""Itgal"", ""Itga2b"", ""Itgam"", ""Itga11"", ""Itgb2"", ""Itga6"", ""Itga5"")"
"245","PID_SHP2_PATHWAY%MSIGDB_C2%PID_SHP2_PATHWAY","0.794774346793349","1","-0.267494732440127","-0.79534659657818","5018","43","c(""Lck"", ""Gab1"", ""Ifngr1"", ""Nos3"", ""Vegfa"", ""Frs3"", ""Il6st"", ""Gnai3"", ""Rhoa"", ""Ptpn11"", ""Igf1r"", ""Tek"", ""Ntrk2"", ""Ngf"")"
"246","HALLMARK_PANCREAS_BETA_CELLS%MSIGDB_C2%HALLMARK_PANCREAS_BETA_CELLS","0.163893510815308","0.63906146397608","-0.482541891818132","-1.26789190690962","984","23","c(""Neurod1"", ""Sst"", ""Mafb"", ""Scgn"", ""Pax6"", ""Nkx2-2"")"
"247","BIOCARTA_IGF1MTOR_PATHWAY%MSIGDB_C2%BIOCARTA_IGF1MTOR_PATHWAY","0.880399796713536","1","-0.276904666150058","-0.689324291309763","5196","18","c(""LOC100911372"", ""Eif4ebp1"")"
"248","PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY","0.13947243721371","0.59876163856813","-0.423247982718089","-1.26456320830878","882","44","c(""Nts"", ""Plau"", ""Nppa"", ""Egr1"", ""Nfatc2"", ""Agt"", ""Cdk1"", ""Fos"")"
"249","BIOCARTA_MTOR_PATHWAY%MSIGDB_C2%BIOCARTA_MTOR_PATHWAY","0.970681326003665","1","-0.221735481616915","-0.577297249724829","5826","22","c(""LOC100911372"", ""Eif4ebp1"")"
"250","PID_ERBB4_PATHWAY%MSIGDB_C2%PID_ERBB4_PATHWAY","0.861553621284283","1","-0.268048486387003","-0.723452117854051","5245","26","c(""Adam17"", ""Btc"", ""Stat5b"", ""Tab2"", ""Fyn"", ""Erbb2"", ""Pik3cd"", ""Grin2b"", ""Nrg2"")"
"251","BIOCARTA_EGF_PATHWAY%MSIGDB_C2%BIOCARTA_EGF_PATHWAY","0.163046256069512","0.638317476580137","0.429187173324639","1.24587640813428","637","26","c(""Map3k1"", ""Prkca"", ""Map2k4"", ""Prkcb"", ""Stat6"", ""Jak1"", ""Rasa1"", ""Mapk8"", ""Map2k1"", ""Plcg1"", ""Jun"", ""Srf"")"
"252","PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY","0.0381853785900783","0.335264176131173","-0.54317987908441","-1.49134295060256","233","28","c(""Cenpf"", ""Ccna2"", ""Cdk1"", ""Fos"", ""Mmp2"", ""Tgfa"", ""Ccne1"", ""Nfatc3"", ""Foxm1"", ""Cdk4"", ""Ccnd1"", ""Cdk2"")"
"253","PID_BARD1_PATHWAY%MSIGDB_C2%PID_BARD1_PATHWAY","0.865729898516784","1","0.248707511624866","0.738452801037447","3326","29","c(""Rad51"", ""LOC100912481"", ""Fanca"", ""Atr"", ""Bard1"")"
"254","PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY","0.0823692734844979","0.481278316211296","-0.428358064754457","-1.33569757612482","533","55","c(""Casp8"", ""Col13a1"", ""Col11a1"", ""Col9a1"", ""Col17a1"", ""Col9a2"", ""Csf1r"", ""Spp1"", ""Col3a1"", ""Col16a1"", ""Col4a5"", ""Vtn"", ""F11r"", ""Mfge8"", ""Col11a2"", ""Vegfa"", ""Vav3"", ""Tln1"", ""Col4a3"", ""Rhoa"", ""Ptpn11"", ""LOC103692716"")"
"255","HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.0337874659400545","0.315649884549289","-0.375702225791263","-1.34696974512636","247","146","c(""Cd44"", ""Plau"", ""Fut4"", ""Map3k8"", ""Plek"", ""Lamb3"", ""Bcl6"", ""Maff"", ""Nr4a2"", ""Egr1"", ""Dusp4"", ""Birc3"", ""Fos"", ""Bmp2"", ""Egr2"", ""Tnfrsf9"", ""Dusp5"", ""Ptx3"", ""Ptger4"", ""Spsb1"", ""Fjx1"", ""Klf4"", ""Nfil3"", ""Tnfaip8"", ""Gadd45b"", ""Sdc4"", ""Ppp1r15a"", ""Klf2"", ""Litaf"", ""B4galt1"", ""Tlr2"", ""Abca1"", ""Phlda2"", ""Cdkn1a"", ""G0s2"", ""Gpr183"", ""Pmepa1"", ""Zbtb10"", ""Pdlim5"", ""Dennd5a"", ""Vegfa"", ""Per1"", ""Il18"", ""Ccnd1"", ""Btg3"", ""Nfe2l2"", ""Phlda1"")"
"256","PID_PS1_PATHWAY%MSIGDB_C2%PID_PS1_PATHWAY","0.901837270341207","1","0.233039535703907","0.708354998638132","3435","32","c(""Map3k7"", ""Fzd1"", ""Hdac1l"", ""Tle1"")"
"257","PID_HDAC_CLASSIII_PATHWAY%MSIGDB_C2%PID_HDAC_CLASSIII_PATHWAY","0.883443933979922","1","-0.277085128626858","-0.67987723762383","5191","17","c(""Acss1"", ""Cdkn1a"", ""Sirt2"", ""Xrcc6"", ""Foxo4"", ""Crebbp"", ""Acss2"", ""Tubb2a"")"
"258","PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY","0.0764520933311269","0.469763691961166","-0.529997612537541","-1.40495563642748","461","24","c(""Plau"", ""Itga2b"", ""Spp1"", ""Sdc4"", ""Col4a5"", ""Vtn"", ""F11r"", ""Vegfa"", ""Cd47"")"
"259","HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDB_C2%HALLMARK_PI3K_AKT_MTOR_SIGNALING","0.998082595870207","1","-0.177434440002833","-0.594743768302971","6766","88","c(""Lck"", ""Cdk1"", ""Dapp1"", ""Ppp2r1b"", ""Faslg"", ""Slc2a1"", ""Ripk1"", ""Cdkn1a"", ""Cxcr4"", ""Ddit3"", ""Cdk4"", ""Vav3"", ""Tnfrsf1a"", ""Nod1"", ""Cdk2"")"
"260","BIOCARTA_RAS_PATHWAY%MSIGDB_C2%BIOCARTA_RAS_PATHWAY","0.468220694281402","0.948759776195631","-0.391194500228626","-1.00011743863478","2791","20","c(""Pik3cg"", ""Pld1"", ""Rhoa"", ""Foxo4"", ""Bcl2l1"", ""Ralgds"", ""Rela"", ""Nfkb1"", ""Hras"", ""Chuk"", ""Pik3r1"")"
"261","PID_CDC42_PATHWAY%MSIGDB_C2%PID_CDC42_PATHWAY","0.878347578347578","1","0.227410285076496","0.776280839171334","3082","56","c(""Map3k1"", ""Iqgap3"", ""Map2k4"", ""Iqgap1"", ""Cbl"", ""Cdc42bpa"", ""Mapk1"", ""Actr2"", ""Arhgef6"", ""Atf2"", ""Yes1"", ""Gsk3b"", ""Mapk8"", ""Mtor"", ""Mapk9"", ""Bcar1"", ""Jun"", ""Actr3"", ""Enah"", ""Arpc3"", ""Pak4"", ""Rps6kb1"", ""Arpc5"", ""Baiap2"", ""Arpc4"", ""Pard6a"")"
"262","HALLMARK_DNA_REPAIR%MSIGDB_C2%HALLMARK_DNA_REPAIR","0.999576629974598","1","-0.167349222894396","-0.5823082569295","7082","115","c(""Ada"", ""Hcls1"", ""Brf2"", ""Pcna"", ""Pold4"", ""Rfc3"", ""Sec61a1"", ""Pnp"", ""Upf3b"", ""Taf13"", ""Polr2i"", ""Rfc2"", ""Gtf2h5"", ""Poll"", ""Nelfb"", ""Taf9"", ""Alyref"", ""Pole4"", ""LOC100912534"", ""Polr2c"", ""Rfc4"", ""Nme3"", ""Gtf2b"", ""Tmed2"", ""Dgcr8"", ""Ak3"", ""Guk1"", ""Nelfe"", ""Znrd1"", ""Umps"", ""Dguok"")"
"263","ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY%MSIGDB_C2%ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","0.716055756324213","1","0.286522535332886","0.845176344013678","2773","28","c(""Nr4a3"", ""Cd55"", ""Akt3"", ""Rps6ka2"", ""Pdk1"", ""Ywhah"", ""Gsk3b"", ""Bad"", ""Pten"", ""Ywhaz"", ""Rps6kb1"", ""Ywhag"", ""Ppp1r13b"", ""Shc1"")"
"264","BIOCARTA_VEGF_PATHWAY%MSIGDB_C2%BIOCARTA_VEGF_PATHWAY","0.953818537859008","1","-0.228091343991058","-0.626242670343221","5844","28","c(""Pik3cg"", ""Nos3"", ""Flt4"", ""Vegfa"", ""Flt1"", ""Eif2s2"", ""Eif2b4"", ""Eif2b5"", ""Vhl"", ""Eif1"", ""Hras"", ""Arnt"", ""Eif2b1"", ""Hif1a"", ""Pik3r1"")"
"265","BIOCARTA_TPO_PATHWAY%MSIGDB_C2%BIOCARTA_TPO_PATHWAY","0.605624258851431","1","-0.361350138376584","-0.89954218364865","3574","18","c(""Pik3cg"", ""Fos"")"
"266","BIOCARTA_EIF_PATHWAY%MSIGDB_C2%BIOCARTA_EIF_PATHWAY","0.940691077875193","1","-0.252663622526636","-0.603567683182857","5471","15","c(""Eef2k"", ""Eif2s2"", ""Eef2"", ""Eif1"", ""Eif4g2"", ""Eif4a1"", ""Eif6"", ""Eif3a"", ""Eif4g1"", ""Eif4a2"", ""Eif1ax"", ""Eif2s1"", ""Eif2s3"", ""Gm5471"", ""Eif4g3"")"
"267","PID_PI3KCI_AKT_PATHWAY%MSIGDB_C2%PID_PI3KCI_AKT_PATHWAY","0.993966421825813","1","0.171668055318263","0.51835808786353","3788","31","c(""Akt3"", ""Pdpk1"", ""Rictor"", ""Ywhah"", ""Gsk3b"", ""Mtor"", ""Bad"", ""Ywhaz"", ""Kpna1"", ""Ywhag"")"
"268","PID_P53_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_P53_DOWNSTREAM_PATHWAY","0.506024096385542","0.975229735595473","-0.29076282990042","-0.978768116133958","3443","91","c(""Pidd1"", ""Bcl6"", ""Fas"", ""Bdkrb2"", ""Pycard"", ""Mmp2"", ""Epha2"", ""Dusp5"", ""Spp1"", ""Steap3"", ""Tgfa"", ""Nfya"", ""Ddit4"", ""Casp1"", ""Col18a1"", ""Pcna"", ""Cdkn1a"", ""Bak1"", ""Cd82"", ""Bcl2"")"
"269","BIOCARTA_RAC1_PATHWAY%MSIGDB_C2%BIOCARTA_RAC1_PATHWAY","0.862951041843131","1","-0.284213233214185","-0.707518180499188","5093","18","c(""Pik3cg"", ""Pld1"", ""Pdgfra"", ""Pak1"", ""Vav1"")"
"270","NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS","0.00709622480840193","0.139046682076974","-0.434975200091259","-1.50700742886999","49","111","c(""Vwa7"", ""Mepe"", ""Matn4"", ""Dpt"", ""Vwa5b1"", ""Bmper"", ""Efemp1"", ""Colq"", ""Igfbpl1"", ""Lamb3"", ""Igfbp6"", ""Reln"", ""Fbln7"", ""Spon2"", ""Ntn5"", ""Pcolce"", ""Crispld1"", ""Ntng1"", ""Cthrc1"", ""Nid1"", ""Lama1"", ""Mfap2"", ""Tecta"", ""Ntn1"", ""Lgi3"", ""Spp1"", ""Egflam"", ""Thbs2"", ""Aebp1"", ""Lgi4"", ""Vtn"", ""Vwa1"", ""Hmcn1"", ""Sparc"")"
"271","PID_RHOA_REG_PATHWAY%MSIGDB_C2%PID_RHOA_REG_PATHWAY","0.865912762520194","1","-0.261741800059191","-0.730748040955387","5359","31","c(""Arhgef5"", ""Arhgdib"", ""Arap1"", ""Arhgap8"", ""Vav2"", ""Arhgef3"", ""Vav3"", ""Arhgef11"", ""Rhoa"", ""Vav1"", ""Cdkn1b"")"
"272","ST_JNK_MAPK_PATHWAY%MSIGDB_C2%ST_JNK_MAPK_PATHWAY","0.435433070866142","0.929480364986007","0.331402318999802","1.00734190237164","1658","32","c(""Map3k7"", ""Il1r1"", ""Nr2c2"", ""Map3k1"", ""Mapk10"", ""Map2k4"", ""Map3k2"", ""Atf2"", ""Mapk8"", ""Mapk9"", ""Gadd45a"")"
"273","HALLMARK_GLYCOLYSIS%MSIGDB_C2%HALLMARK_GLYCOLYSIS","0.254412163996742","0.752785174488647","-0.30884306047185","-1.1102001882802","1873","150","c(""Cd44"", ""Lhx9"", ""Chst5"", ""Plod2"", ""Hs6st2"", ""Cth"", ""Aldh7a1"", ""Hk2"", ""Cdk1"", ""Gusb"", ""Ppfia4"", ""Il13ra1"", ""Adora2b"", ""Tgfa"", ""Stc1"", ""Ddit4"", ""B4galt1"", ""Aurka"", ""Isg20"", ""Cited2"", ""Tsta3"", ""Nol3"", ""Angptl4"", ""Gapdhs"", ""Cxcr4"", ""Tpbg"")"
"274","PID_ERBB2_ERBB3_PATHWAY%MSIGDB_C2%PID_ERBB2_ERBB3_PATHWAY","0.992901992901993","1","0.175080148788514","0.549288252776628","3636","38","c(""Mapk10"", ""Nrg1"", ""Mapk1"", ""Ppp3cb"", ""Pik3cb"", ""Mapk8"", ""Mtor"", ""Mapk9"", ""Map2k1"", ""Bad"", ""Jun"", ""Nras"")"
"275","BIOCARTA_KERATINOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_KERATINOCYTE_PATHWAY","0.264102971555697","0.763893875789256","-0.394715368467034","-1.14136226956403","1661","37","c(""Prkcq"", ""Prkch"", ""Fas"", ""Fos"", ""Faslg"", ""Map3k14"", ""Tnfrsf1b"", ""Ripk1"")"
"276","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES%MSIGDB_C2%SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","0.325587269512503","0.835062106672523","0.382349335733116","1.09269739959607","1288","24","c(""Map4k1"", ""Irs1"", ""Stat6"", ""Jak1"", ""Akt3"", ""Socs1"", ""Mapk1"", ""Pdk1"", ""Gsk3b"", ""Bad"")"
"277","PID_NOTCH_PATHWAY%MSIGDB_C2%PID_NOTCH_PATHWAY","0.993780421849648","1","0.176543354754386","0.563214147616708","3674","40","c(""Hdac1l"", ""Notch3"", ""Dnm1"", ""Cbl"", ""Adam12"", ""Jag1"", ""Cntn1"", ""Furin"")"
"278","PID_HIF1_TFPATHWAY%MSIGDB_C2%PID_HIF1_TFPATHWAY","0.075613185439775","0.468652730625781","-0.443032264795308","-1.35012274595789","483","49","c(""Adm"", ""Cp"", ""Hmox1"", ""Itgb2"", ""Tf"", ""Hk2"", ""Fos"", ""Bhlhe41"", ""Slc2a1"", ""Abcg2"", ""Cited2"", ""Tert"", ""Cxcr4"", ""Cxcl12"", ""Pgm1"", ""Vegfa"")"
"279","PID_MYC_REPRESS_PATHWAY%MSIGDB_C2%PID_MYC_REPRESS_PATHWAY","0.0805170534184706","0.477950936657984","-0.43629866353373","-1.33882939384121","516","51","c(""Sfrp1"", ""Brca1"", ""Rbl1"", ""Irf8"", ""Itga6"", ""Slc11a1"", ""Nfya"", ""Ndrg2"", ""Lgals1"", ""Cdkn1a"", ""Clu"", ""Bcl2"", ""Ddit3"", ""Ccnd1"", ""Itgb1"", ""Tmem126a"", ""Mxd4"", ""Spi1"", ""Tmeff2"", ""Erbb2"", ""Hdac1"", ""Tsc2"", ""Tjp2"", ""Aldh9a1"", ""Ndrg1"", ""Cflar"", ""Cdkn1b"")"
"280","PID_REG_GR_PATHWAY%MSIGDB_C2%PID_REG_GR_PATHWAY","0.94359117564926","1","0.210673704448329","0.7071976109042","3378","51","c(""Afp"", ""Hdac1l"", ""Ncoa2"", ""Mapk10"", ""Creb1"", ""Ncoa1"", ""Cdk5r1"", ""Fkbp5"", ""Mapk1"", ""Bax"", ""Ywhah"", ""Gsk3b"", ""Mapk8"", ""Mapk9"")"
"281","BIOCARTA_P53HYPOXIA_PATHWAY%MSIGDB_C2%BIOCARTA_P53HYPOXIA_PATHWAY","0.779214442546963","1","0.290219327136549","0.773257325041143","3193","18","c(""Bax"", ""Mapk8"", ""Nqo1"", ""Gadd45a"", ""Fhl2"", ""Igfbp3"", ""Csnk1d"")"
"282","PID_FCER1_PATHWAY%MSIGDB_C2%PID_FCER1_PATHWAY","0.157607849244666","0.628925191990959","-0.402670943116478","-1.23563911547124","1011","51","c(""Lat2"", ""Fcgr2b"", ""Itk"", ""Nfatc2"", ""Lcp2"", ""Inpp5d"", ""Fos"", ""Hcls1"", ""Dok1"", ""Lyn"", ""Ptpn13"", ""Pld2"")"
"283","PID_ERBB1_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_ERBB1_DOWNSTREAM_PATHWAY","0.994413407821229","1","0.177391730843628","0.657270153632622","3203","88","c(""Map3k1"", ""Prkca"", ""Map2k4"", ""Nckap1"", ""Creb1"", ""Iqgap1"", ""Rin1"", ""Pdpk1"", ""Rictor"", ""Mapk1"", ""Map3k2"", ""Actr2"", ""Atf2"", ""Pik3cb"", ""Ywhah"", ""Mapk8"", ""Mtor"", ""Mapk9"", ""Map2k1"", ""Prkcd"", ""Rala"", ""Bad"", ""Abi1"", ""Rps6ka5"", ""Jun"", ""Srf"", ""Actr3"", ""Slc9a1"", ""Nras"", ""Ppp2ca"", ""Ywhaz"", ""Arpc3"", ""Arpc5"", ""Ywhag"", ""Rps6"", ""Mef2c"", ""Baiap2"", ""Arpc4"", ""Elk1"")"
"284","ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS%MSIGDB_C2%ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","0.388127853881279","0.893236925738659","0.332426092856451","1.03290050914628","1444","36","c(""Pik3c2g"", ""Th"", ""Egr3"", ""Mapk10"", ""Map2k4"", ""Creb1"", ""Mapk1"", ""Mapk8ip3"", ""Mapk8"", ""Mapk9"", ""Mapk8ip2"")"
"285","BIOCARTA_MAL_PATHWAY%MSIGDB_C2%BIOCARTA_MAL_PATHWAY","0.908523409363746","1","0.252704312100519","0.654168782102774","3783","16","c(""Map3k1"", ""Acta1"", ""Mapk1"", ""Mapk8"", ""Map2k1"", ""Srf"", ""Map4k2"", ""Diaph1"", ""Rock1"")"
"286","PID_CDC42_REG_PATHWAY%MSIGDB_C2%PID_CDC42_REG_PATHWAY","0.818467648518947","1","-0.284666162450286","-0.754613454803781","4945","24","c(""Dock6"", ""Vav2"", ""Arhgap17"", ""Vav3"", ""Bcar3"", ""Dnmbp"", ""Spata13"", ""Arhgdia"", ""Git1"", ""Ngef"", ""Nme1"", ""Farp2"")"
"287","PID_IGF1_PATHWAY%MSIGDB_C2%PID_IGF1_PATHWAY","0.813887454827052","1","0.26442399238337","0.779990665978262","3152","28","c(""Irs1"", ""Pdpk1"", ""Ptpn1"", ""Nck2"", ""Pxn"", ""Prkcd"", ""Bad"", ""Bcar1"", ""Ywhaz"", ""Rps6kb1"", ""Shc1"")"
"288","NABA_MATRISOME_ASSOCIATED%MSIGDB_C2%NABA_MATRISOME_ASSOCIATED","0.000242277407631738","0.0190982643632868","-0.393067494379597","-1.52836830885166","1","334","c(""Pf4"", ""Il1rn"", ""Plau"", ""Ccl24"", ""Fst"", ""Clec1a"", ""P3h2"", ""C1qtnf7"", ""Clec4a"", ""Frem3"", ""Angpt4"", ""Clec10a"", ""Sfrp1"", ""Wnt9b"", ""F13a1"", ""Cbln4"", ""Plod2"", ""Fgf1"", ""Tgfb2"", ""Il17b"", ""Brinp3"", ""Tgm2"", ""Bmp4"", ""Wfikkn1"", ""Tnfsf10"", ""Serpinf2"", ""Adamts4"", ""Agt"", ""Sema3c"", ""Tnfsf4"", ""Cxcl13"", ""Sulf1"", ""P4ha3"", ""Ctse"", ""S100a4"", ""Hhip"", ""Wfikkn2"", ""Sema3f"", ""Ctsc"", ""Tgm4"", ""Plg"", ""Anxa3"", ""Anxa2"", ""Adamtsl2"", ""Sema3e"", ""Wnt7a"", ""Kazald1"", ""Wnt16"", ""Tnfsf13b"", ""Wnt3"", ""Mmp2"", ""C1qc"", ""Bmp2"", ""Pamr1"", ""Lgals9"", 
""Il25"", ""C1qa"", ""Serpine3"", ""Tnfsf13"", ""Elfn1"", ""Fgf21"", ""Adam17"", ""Faslg"", ""S100a16"", ""Tgfa"", ""Serpine2"", ""Clec5a"", ""Serpinf1"", ""Ccl19"", ""Plxnd1"", ""S100a3"", ""Igf2"", ""Sdc4"", ""Serpinh1"", ""Scube1"", ""Inhbb"", ""Gdf10"", ""Mdk"", ""Adamts9"", ""C1ql1"", ""C1qb"", ""Btc"", ""Gpc2"", ""Il15"", ""Timp3"", ""Sfrp4"", ""S100a13"", ""Lgals7"", ""Cntf"", ""Sema3g"", ""Sema6d"", ""Cspg5"", ""Mmp14"", ""Cspg4"", ""Cxcl14"", ""Sema3d"", ""S100b"", ""Mmp15"", ""St14"", ""RGD1565033"", ""Lgals1"", ""LOC100911486"", ""Cst3"", ""Cbln2"", ""Serpina11"", ""Angptl4"", ""Sulf2"", 
""Serpinb9"", ""Sema3b"", ""Ctsl"", ""Cxcl12"", ""Egfl6"", ""Wnt5b"", ""Anxa5"", ""Plod1"", ""Il12a"", ""Angpt2"", ""Pdgfa"", ""Crhbp"", ""Adam32"", ""Htra3"", ""Nrtn"", ""Wnt2b"", ""Vegfa"", ""Vwc2"", ""Fstl3"", ""Il18"", ""Vwc2l"", ""Il34"", ""Scube3"", ""Wif1"", ""Wnt7b"", ""Ctf1"", ""Fstl1"", ""Sema4d"", ""Plod3"", ""C1qtnf5"", ""Plat"", ""Bmp1"", ""Sema6a"")"
"289","HALLMARK_APOPTOSIS%MSIGDB_C2%HALLMARK_APOPTOSIS","0.00290255701451279","0.080928283211093","-0.428866456913621","-1.52229101786965","20","136","c(""Cd44"", ""Krt18"", ""Casp8"", ""Cd14"", ""Txnip"", ""Tgfb2"", ""Brca1"", ""Hmox1"", ""Fas"", ""Igfbp6"", ""Tnfsf10"", ""Cth"", ""Avpr1a"", ""Birc3"", ""Ifitm3"", ""Mmp2"", ""Bmp2"", ""Gsn"", ""Erbb3"", ""Bmf"", ""Emp1"", ""Faslg"", ""Ifngr1"", ""Tspo"", ""Gadd45b"", ""Gpx3"", ""Cd38"", ""Timp3"", ""Casp1"", ""Isg20"", ""F2r"", ""Cdkn1a"", ""Clu"", ""Lef1"", ""Dap3"", ""Ddit3"", ""Il18"", ""Ccnd1"", ""Btg3"", ""Plcb2"", ""Plat"", ""Cdk2"", ""Erbb2"", ""Dap"", ""Pak1"")"
